id,facilities,XX,YY
3.0,3.0,612684.883012,1189192.66477
8.0,8.0,612684.883012,1189242.66477
13.0,13.0,612684.883012,1189292.66477
18.0,18.0,612684.883012,1189342.66477
23.0,23.0,612684.883012,1189392.66477
28.0,28.0,612684.883012,1189442.66477
33.0,33.0,612684.883012,1189492.66477
38.0,38.0,612684.883012,1189542.66477
43.0,43.0,612684.883012,1189592.66477
48.0,48.0,612702.265361,1189629.7378
